Nom,Raison sociale,SIREN,Segment,Adresse Toulouse,Gérant,Type dirigeant,Rôle,Nb établissements,Date création,SIREN holding
"GALERIE SCHANEWALD","GALERIE SCHANEWALD",833402118,"Autre commerce spécialisé","15 RUE CROIX BARAGNON 31000 TOULOUSE","William Schanewald",physique,"Président de SAS",2,2017-12-01,
"GERSTAECKER TOULOUSE LE GEANT DES BEAUX ARTS","GERSTAECKER TOULOUSE LE GEANT DES BEAUX ARTS",808833677,"Autre commerce spécialisé","16 BOULEVARD LAZARE CARNOT 31000 TOULOUSE","Christian Geyer",physique,"Gérant",1,2015-01-02,
"GFSA","GFSA",792385171,"Autre commerce spécialisé","1 IMPASSE DE SAINT MARTORY 31100 TOULOUSE","Stephanie Amoyal",physique,"Gérant",2,2013-03-15,
"GILBERT ALBERT","IDOLA",517431490,"Autre commerce spécialisé","7 RUE DES ARTS 31000 TOULOUSE","",,"",1,2009-11-13,
"GILLES BLET","",478816507,"Autre commerce spécialisé","35 RUE GUSTAVE CHARPENTIER 31100 TOULOUSE","Gilles Blet",physique,"",1,2004-10-01,
"GO MORE ECO","",847534237,"Autre commerce spécialisé","53 RUE DE L'ESTEREL 31400 TOULOUSE","Juliette Chanu",physique,"",1,2019-01-21,
"GREEN OWL","AU PAYS DU THE",839893740,"Autre commerce spécialisé","9 RUE PEYROLIERES 31000 TOULOUSE","A2BCE GROUP",morale,"",3,2018-06-28,902662410
"GREEN SERVICES (ADOPTE UN BUREAU)","GREEN SERVICES",811855014,"Autre commerce spécialisé","APPARTEMENT 203 1 RUE ANTONIO VIVALDI 31300 TOULOUSE","Christophe Cote",physique,"Président de SAS",2,2015-06-04,
"GRENIER DES ARTS","ART RIVE GAUCHE",811561026,"Autre commerce spécialisé","47 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","Michel Lacroix",physique,"Gérant",1,2015-06-01,
"GUILLAUME SERPAULT","",499274405,"Autre commerce spécialisé","72 RUE ALFRED DUMERIL 31400 TOULOUSE","Guillaume Serpault",physique,"",1,2007-07-01,
"H.B.S","H.B.S",482179330,"Autre commerce spécialisé","81 A 83 81 RUE DU FERETRA 31400 TOULOUSE","",,"",1,2005-05-04,
"HABYMODESTY","",943657726,"Autre commerce spécialisé","79 AVENUE DE LA GLOIRE 31500 TOULOUSE","Habiba Mezarja",physique,"",1,2025-05-10,
"HERVE FREVILLE","",392169736,"Autre commerce spécialisé","BATIMENT VIMY 36 RUE DES SPORTS 31200 TOULOUSE","Herve Freville",physique,"",1,1993-08-01,
"HI-TECH SOLUTION","HI-TECH SOLUTION",521055202,"Autre commerce spécialisé","374 T AVENUE DE FRONTON 31200 TOULOUSE","",,"",1,2010-03-15,
"HICHAM BENCHEKROUN FEHIEL","",449647973,"Autre commerce spécialisé","8 RUE SAINT CHARLES 31000 TOULOUSE","Hicham Benchekroun fehiel",physique,"",1,2003-09-01,
"HICOLOR","HICOLOR",538359274,"Autre commerce spécialisé","7 RUE PIERRE DE FERMAT 31000 TOULOUSE","Jean-alexandre Faillieres",physique,"Président de SAS",1,2011-12-28,
"HOLLY ZARA MALONE","",888066198,"Autre commerce spécialisé","2009-03-DOM 115 RUE BONNAT 31400 TOULOUSE","Holly Malone (malone)",physique,"",1,2020-09-01,
"HOMME MODERNE BOUTIQUES","HOMME MODERNE BOUTIQUES",527637862,"Autre commerce spécialisé","37 RUE DE REMUSAT 31000 TOULOUSE","REDER SA",morale,"Président de SAS",2,2010-10-06,410714885
"HOSSEIN ATEFI","",408020543,"Autre commerce spécialisé","20 RUE D'AUBUISSON 31000 TOULOUSE","Hossein Atefi",physique,"",1,1996-07-01,
"HYDROZONE","NATUR'INDOOR",518587316,"Autre commerce spécialisé","44 RUE MICHEL ANGE 31200 TOULOUSE","Richard Etien",physique,"Gérant",1,2010-01-02,
"ID-BOOK","",533785499,"Autre commerce spécialisé","APT 28 40 RUE DES SAULES 31400 TOULOUSE","Tanguy Tomasi",physique,"",1,2011-07-25,
"IMAGIN'ERES","IMAGIN'ERES",432402063,"Autre commerce spécialisé","17 RUE SAINTE URSULE 31000 TOULOUSE","Raphael Oved",physique,"Gérant",1,2000-07-01,
"IN ARTE VERITAS","IN ARTE VERITAS",915117600,"Autre commerce spécialisé","ET 10 RUE DE LA TRINITE 4 PLACE ROUAIX 31000 TOULOUSE","Stephane Debost",physique,"Gérant",1,2022-06-28,
"INDOORGROWING (IDEO)","INDOORGROWING",530519396,"Autre commerce spécialisé","26 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","Julien Abadie",physique,"Gérant",1,2011-02-18,
"IPHONE TECH.IPOD TECH.IPAD TECH.DS TECH","SID PRODUCTION",520352873,"Autre commerce spécialisé","1 IMPASSE DE LISIEUX 31300 TOULOUSE","SID INVEST",morale,"Président de SAS",1,2010-02-15,842936569
"ISABELLE KLEIN","",438338550,"Autre commerce spécialisé","7 RUE BOULBONNE 31000 TOULOUSE","Isabelle Klein",physique,"",1,2001-07-01,
"ISABELLE SIG ISABELLE","",313762411,"Autre commerce spécialisé","RUE PARGAMINIERES 31000 TOULOUSE","Isabelle Sig isabelle",physique,"",1,1900-01-01,
"ISABELLE SOULET","",521171678,"Autre commerce spécialisé","RDC 16 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Isabelle Soulet",physique,"",1,2010-03-19,
"ISMOKE 31","LILEMA",989837943,"Autre commerce spécialisé","138 AVENUE DE FRONTON 31200 TOULOUSE","Komlavi Ayivor",physique,"Président de SAS",1,2025-08-01,
"ISOLTEK","ISOLTEK",790177943,"Autre commerce spécialisé","10 RUE ETIENNE BACQUIE 31100 TOULOUSE","Pierre Aguesse",physique,"Gérant",1,2013-01-01,
"IXIART","IXIART",831057914,"Autre commerce spécialisé","10-12 10 PORT SAINT SAUVEUR 31000 TOULOUSE","Jerome Garcia",physique,"Président de SAS",1,2017-07-18,
"JARDINS D'EDEN","JARDINS D'EDEN",530739044,"Autre commerce spécialisé","BAT B APPT 1465 35 CHEMIN DE NICOL 31200 TOULOUSE","Aicha Mehbali (djouahri)",physique,"Gérant",1,2011-03-07,
"JBSR","JBSR",823282512,"Autre commerce spécialisé","BAL 10 ETAGE 5 APPT 175 24 BOULEVARD DE BONREPOS 31000 TOULOUSE","Jean-bernard Revellat",physique,"Gérant",1,2016-10-18,
"JEAN MOTEL","",523626943,"Autre commerce spécialisé","51 RUE MONIE 31500 TOULOUSE","Jean Motel",physique,"",1,2010-07-01,
"JEAN-PIERRE RECOULE","",492388574,"Autre commerce spécialisé","2 CHEMIN AMOUROUX 31500 TOULOUSE","Jean-pierre Recoule",physique,"",1,2006-09-28,
"JESSICA RAYNAUD","",833462625,"Autre commerce spécialisé","LES JARDINS DE SELENE PORTE A05 148 RUE DOMINIQUE CLOS 31300 TOULOUSE","Jessica Raynaud",physique,"",1,2017-12-04,
"JMT AFFICHAGE","JMT AFFICHAGE",519704423,"Autre commerce spécialisé","RESIDENCE VILLAUDRIC APT 51 9 AVENUE FRANCOIS COLLIGNON 31200 TOULOUSE","Franck Delevallez",physique,"Gérant",1,2010-01-15,
"JOANA NUNES GUERREIRO (OY OYA)","",812688802,"Autre commerce spécialisé","4 CHEMIN D'AUDIBERT 31200 TOULOUSE","Joana Nunes guerreiro",physique,"",1,2015-07-22,
"JOY 5","JOY 5",929139962,"Autre commerce spécialisé","ZAC TOULOUSE MONTAUDRAN AEROSPACE 6 AVENUE DE L'AERODROME DE MONTAUDRAN 31100 TOULOUSE","Rudy Claude",physique,"Président de SAS",2,2024-05-24,
"JOY4","JOY4",879961647,"Autre commerce spécialisé","16 RUE DES PENITENTS BLANCS 31000 TOULOUSE","Loan Juan",physique,"Président de SAS",3,2019-12-12,
"JUAN FRANCISCO PEREA (PEREA MEDE)","",500402433,"Autre commerce spécialisé","2 RUE D'ALENCON 31400 TOULOUSE","Juan Perea (perea mede)",physique,"",1,2007-10-13,
"JULIE FAUCHER","",802990176,"Autre commerce spécialisé","63 AVENUE CAMILLE PUJOL 31500 TOULOUSE","Julie Faucher",physique,"",1,2014-06-03,
"KARINE CAZENAVE TAPIE","",483970620,"Autre commerce spécialisé","RESIDENCE LA PROMENADE DES ARGOULETS 6 RUE LOUIS PLANA 31500 TOULOUSE","Karine Cazenave tapie",physique,"",2,2005-09-01,
"KING GAMES","G T D",424826790,"Autre commerce spécialisé","21 AVENUE DES MINIMES 31200 TOULOUSE","Geneviève Zanolin (bron)",physique,"Gérant",2,1999-11-08,
"KIOSQUE SAINTCYPRIEN","KIOSQUE SAINTCYPRIEN",999864101,"Autre commerce spécialisé","PLACE JEAN DIEBOLD 31300 TOULOUSE","Mohamed Bejaoui",physique,"Président de SAS",1,2026-01-19,
"KOUMAL","KOUMAL",843977919,"Autre commerce spécialisé","30 RUE DE LA POMME 31000 TOULOUSE","Julien Wiart",physique,"Gérant",3,2018-11-19,
"KOUMAL TOULOUSE","KOUMAL TOULOUSE",999269517,"Autre commerce spécialisé","30 RUE DE LA POMME 31000 TOULOUSE","KOUMAL GROUP",morale,"",2,2025-12-31,911755270
"L'AMAZONE","L'AMAZONE",981882020,"Autre commerce spécialisé","38 RUE DES TOURNEURS 31000 TOULOUSE","Marion Gaudin (gaudin)",physique,"Gérant",1,2023-11-14,
"L'ARMAZEM","LA BOUTIQUE GALERIE L'ARMAZEM SATHIG",878516111,"Autre commerce spécialisé","13 RUE SAINTE URSULE 31000 TOULOUSE","Guy Saladon",physique,"Président de SAS",1,2019-11-01,
"L'ART DU BILLARD","L'ART DU BILLARD",420400772,"Autre commerce spécialisé","100 & 102 ALLEE DE BARCELONE 31000 TOULOUSE","",,"",1,1998-10-01,
"L'AS DES CHICHAS","L'AS DES CHICHAS",843051236,"Autre commerce spécialisé","10 AVENUE DE MURET 31300 TOULOUSE","Issam Belhaj messaoud",physique,"Directeur Général",2,2018-09-06,
"L'ATELIER D'AMAYA TOULOUSE","L'ATELIER D'AMAYA TOULOUSE",751660267,"Autre commerce spécialisé","11 RUE ANTONIN MERCIE 31000 TOULOUSE","Laure De gorostarzu (andrieux)",physique,"Gérant",4,2012-04-30,
"L'ATELIER DE L'OLYMPE","L'ATELIER DE L'OLYMPE",912703840,"Autre commerce spécialisé","23 RUE PAUL BONAMY 31500 TOULOUSE","Nicolas Vigouroux",physique,"Président de SAS",1,2022-04-12,
"LA BOITE A FILMS","EURO PLUS",750157422,"Autre commerce spécialisé","31 RUE BERTRAND DE BORN 31000 TOULOUSE","",,"",1,2012-03-02,
"LA CLEF DES ETOILES","COSMODIFF",477593859,"Autre commerce spécialisé","3 RUE ROMIGUIERES 31000 TOULOUSE","Celine Vauclair (barraud)",physique,"Gérant",2,2004-06-29,
"LA CROIZETTE","IL ETAIT UNE FOIS...RUE DU COURS",503051831,"Autre commerce spécialisé","22 RUE SAINT ANTOINE DU T 31000 TOULOUSE","Ghislaine Capdeville (cahusac)",physique,"Gérant",2,2008-03-06,
"LA FINE EQUIPE","LA FINE EQUIPE",888304474,"Autre commerce spécialisé","23 CHEMIN DE HEREDIA 31500 TOULOUSE","Sofia Bendidane",physique,"Gérant",1,2020-08-20,
"LA FLEUREE DE PASTEL","LA FLEUREE DE PASTEL",793338542,"Autre commerce spécialisé","20 RUE DE LA BOURSE 31000 TOULOUSE","Thierry Potente",physique,"Gérant",4,2013-05-17,
"LA LICORNE","LA LICORNE",399702828,"Autre commerce spécialisé","5 PLACE ROUAIX 31000 TOULOUSE","",,"",1,1994-10-01,
"LA MISSTINGUETTE EN SALOPETTE","LA MISSTINGUETTE",848182606,"Autre commerce spécialisé","33 RUE DE LA COLOMBETTE 31000 TOULOUSE","Andrea Zaragoza salvi",physique,"Président de SAS",2,2019-02-05,
"LA PEPITE","LA PEPITE",822459921,"Autre commerce spécialisé","8 PLACE ROGER SALENGRO 31000 TOULOUSE","Charlotte Pujol",physique,"Gérant",1,2016-09-08,
"LA PLUME ROSE","SARL AMBIANCE ET DECORATION",424874147,"Autre commerce spécialisé","2 RUE DE REMUSAT 31000 TOULOUSE","Emmanuel Grosset",physique,"Gérant",1,1999-11-15,
"LA VAPORISTERIE","LA VAPORISTERIE",985081553,"Autre commerce spécialisé","APPT B25 5 RUE PAUL ESTIVAL 31200 TOULOUSE","Soufian Kanite",physique,"Gérant",2,2024-02-27,
"LA VOISINE DU CURE","",403569908,"Autre commerce spécialisé","203 AVENUE DE LARDENNE 31100 TOULOUSE","Caroline Delgrange",physique,"",2,1996-02-01,
"LA ZAMBA VILLE ROSE","MAMOUNET ET PAPOUNET",528779085,"Autre commerce spécialisé","50 RUE DU GENERAL JEAN COMPANS 31500 TOULOUSE","Rubins Mwindu ndoba",physique,"Gérant",1,2011-01-02,
"LABORATOIRES PHARMAVA","LABORATOIRES PHARMAVA",793525262,"Autre commerce spécialisé","BATIMENT F, LE PRE CATALAN 78 ALLEES JEAN JAURES 31000 TOULOUSE","Samy Ouaknine",physique,"Gérant",1,2013-06-01,
"LAURENT GUIRAO","",418317418,"Autre commerce spécialisé","BAT B APPT N° 2 74 CHEMIN RAYNAL 31200 TOULOUSE","Laurent Guirao",physique,"",2,1998-04-11,
"LBDV TOULOUSE","LBDV TOULOUSE",897659397,"Autre commerce spécialisé","10 PL DUPUY 31000 TOULOUSE","Kévin Sanchez",physique,"Président de SAS",1,2021-03-18,
"LE BAZAR DU FAUBOURG","SARL RATTOUL ICI TOUT A 2 EUROS",801497041,"Autre commerce spécialisé","53 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","Elodie Herrero",physique,"Gérant",1,2014-05-26,
"LE BOUDOIR DE PAULETTE","ISA & CO",818418311,"Autre commerce spécialisé","27 RUE DU LANGUEDOC 31000 TOULOUSE","Isabelle Lassus (jeu)",physique,"Président de SAS",1,2016-02-08,
"LE CONFORT DES ETRANGES","LE CONFORT DES ETRANGES",447640194,"Autre commerce spécialisé","33 RUE DES POLINAIRES 31000 TOULOUSE","Jacques Roubert",physique,"Gérant",1,2003-03-11,
"LE SABBLIER","LE SABBLIER",481827939,"Autre commerce spécialisé","24 RUE SAINTE URSULE 31000 TOULOUSE","Franck Boyer",physique,"Gérant",5,2005-04-13,
"LE SPHINX","SARL MERLY",529541468,"Autre commerce spécialisé","16 RUE MAURICE FONVIEILLE 31000 TOULOUSE","",,"",1,2011-01-10,
"LE TROUSSEAU DE COLETTE","LE TROUSSEAU DE COLETTE",989979281,"Autre commerce spécialisé","21 RUE BOUQUIERES 31000 TOULOUSE","Adeline Babouche",physique,"Président de SAS",2,2025-08-01,
"LECOFFRE","LECOFFRE",930418108,"Autre commerce spécialisé","243 ROUTE D'ALBI 31200 TOULOUSE","SIRIUS MANAGEMENT",morale,"",1,2024-06-22,504916487
"LES FEES PAPILLONS","LFP TOULOUSE",821069986,"Autre commerce spécialisé","11 RUE SAINT ROME 31000 TOULOUSE","Claudine Paltrinieri",physique,"Président de SAS",1,2016-06-20,
"LES PIPELETTES","LES COPINES",800846347,"Autre commerce spécialisé","43 RUE DES TOURNEURS 31000 TOULOUSE","Isabelle Grimaudo",physique,"Gérant",3,2014-03-15,
"LES VANNIERS","LES VANNIERS",403617707,"Autre commerce spécialisé","69 ALLEES CHARLES DE FITTE 31300 TOULOUSE","Olivier Sayag",physique,"Gérant",1,1996-02-01,
"LIBREPC","LIBREPC",481962801,"Autre commerce spécialisé","LE PRE CATELAN 78 ALLEES JEAN JAURES 31000 TOULOUSE","",,"",2,2005-04-25,
"LISA COUTREAU","",799579487,"Autre commerce spécialisé","8 RUE DES MOULINS 31000 TOULOUSE","Lisa Coutreau",physique,"",1,2013-10-24,
"LISA-MIA GROUP","LISA-MIA GROUP",750476624,"Autre commerce spécialisé","122 AVENUE CRAMPEL 31400 TOULOUSE","Lisa Leon",physique,"Liquidateur",2,2012-03-20,
"LSDC GALERIE","LSDC GALERIE",908053812,"Autre commerce spécialisé","269 ROUTE DE LAUNAGUET 31200 TOULOUSE","Mathieu Naves",physique,"Président de SAS",2,2021-11-29,
"LVMA","LVMA",793786310,"Autre commerce spécialisé","55 RUE DE LA REPUBLIQUE 31300 TOULOUSE","Karim Kada",physique,"Président de SAS",2,2013-07-20,
"LYNATOX","LYNATOX",498271394,"Autre commerce spécialisé","23 RUE DENFERT ROCHEREAU 31000 TOULOUSE","",,"",4,2007-05-16,
"LYNX STORE","V.L.A.",428110928,"Autre commerce spécialisé","2 RUE LAFON 31000 TOULOUSE","Eric Amilhat",physique,"Président de SAS",1,1999-12-01,
"M.B TROPHEES","M.B TROPHEES",481470961,"Autre commerce spécialisé","14 RUE SAINT BERTRAND 31500 TOULOUSE","Jean Mio bertolo",physique,"Gérant",1,2005-03-08,
"M.D.H.","M.D.H.",432568798,"Autre commerce spécialisé","55 RUE DE BAYARD 31000 TOULOUSE","Henri Mardoukh",physique,"Gérant",1,2000-09-01,
"M.F MA","M.F MA",910289362,"Autre commerce spécialisé","12 RUE MAS DES AUGUSTINS 31500 TOULOUSE","Fabien Michel",physique,"Président de SAS",1,2022-01-02,
"MADE IN","AINSI DE SUITE",833552136,"Autre commerce spécialisé","7 B RUE CUJAS 31000 TOULOUSE","Patrick Derrien",physique,"Président de SAS",1,2017-12-11,
"MAIA MALLIARAKIS (BRAUD)","",507634814,"Autre commerce spécialisé","21 BOULEVARD DE SUISSE 31200 TOULOUSE","Maia Malliarakis (braud)",physique,"",1,2008-08-01,
"MAISON DE LA CHEVELURE","FRANCE PERRUQUES",722052156,"Autre commerce spécialisé","14 RUE DES PUITS CLOS 31000 TOULOUSE","Claudine Dunoye (henry)",physique,"Président de SAS",2,1972-01-01,
"MAISON DE VILLE","MAISON DE VILLE",530830793,"Autre commerce spécialisé","36 RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","",,"",1,2011-03-07,
"MAJO31","MAJO31",753240670,"Autre commerce spécialisé","12-14 12 AVENUE DE L'URSS 31400 TOULOUSE","Joseph Navette",physique,"Gérant",2,2012-08-08,
"MALUTI SOLUTIONS","MALUTI SOLUTIONS",490826674,"Autre commerce spécialisé","9 RUE SAINT GABRIEL 31400 TOULOUSE","",,"",1,2006-06-17,
"MARC MARTIN","",387914518,"Autre commerce spécialisé","LES AGATHES APT 8396 4 B RUE ANDRE HAON 31200 TOULOUSE","Marc Martin",physique,"",1,1992-07-06,
"MARCELO EXOTIC","",983803164,"Autre commerce spécialisé","REZ DE CHAUSSEE 146 AVENUE DES MINIMES 31200 TOULOUSE","Maria Afonso",physique,"",1,2024-02-01,
"MARIN'ART","",354010126,"Autre commerce spécialisé","ETAGE 3 71 RUE DE CUGNAUX 31300 TOULOUSE","Monique Nozeran (pizano)",physique,"",1,1990-02-08,
"MARLIE","MARLIE",847606787,"Autre commerce spécialisé","11 RUE CANTEGRIL 31000 TOULOUSE","Marine Barennes",physique,"Gérant",1,2019-01-02,
"MASKOTTE","MASKOTTE",948385398,"Autre commerce spécialisé","12 RUE PERCHEPINTE 31000 TOULOUSE","Flovia Busato",physique,"Gérant",1,2023-02-01,
"MATHILDE HOARAU","",525124640,"Autre commerce spécialisé","APT 102 18 BOULEVARD DES MINIMES 31200 TOULOUSE","Mathilde Hoarau",physique,"",1,2010-07-10,
"MATSAI MARA","MATSAI MARA",504776931,"Autre commerce spécialisé","25 RUE BOULBONNE 31000 TOULOUSE","Mathilde Careil",physique,"Gérant",2,2008-07-01,
"MBYM","RAPHAEL",824223671,"Autre commerce spécialisé","B17 1 RUE RAYMOND BOULOGNE 31500 TOULOUSE","Mariem Raphaël (es-sayeh)",physique,"Président de SAS",2,2016-12-12,
"MERIC BOUTIQUE","MERIC BOUTIQUE",424777449,"Autre commerce spécialisé","24 PLACE DES CARMES 31000 TOULOUSE","Marc Lemire",physique,"Gérant",1,1999-10-21,
"MERIC CONCEPT STORE","MERIC CONCEPT STORE",938673183,"Autre commerce spécialisé","24 PLACE DES CARMES 31000 TOULOUSE","Jade Montlibert",physique,"Gérant",2,2024-12-16,
"METALECO 31","METALECO 31",853533024,"Autre commerce spécialisé","34 CHEMIN DE L'EGLISE DE LALANDE 31200 TOULOUSE","METALECO GROUP",morale,"Président de SAS",1,2019-08-27,852785765
"MF PERFORMANCE","MF PERFORMANCE",888650868,"Autre commerce spécialisé","36 BOULEVARD DE LA GARE 31500 TOULOUSE","Mathieu Cellier",physique,"Président de SAS",1,2020-08-04,
"MICRO MEDIA STORE","MICRO MEDIA STORE",480013440,"Autre commerce spécialisé","160 GRANDE-RUE SAINT MICHEL 31400 TOULOUSE","",,"",1,2004-12-15,
"MIKADO","",478455116,"Autre commerce spécialisé","40 RUE DU TAUR 31000 TOULOUSE","Michel Darras",physique,"",2,2004-10-01,
"MILLENIUM COMPUTER","MILLENIUM COMPUTER",432476141,"Autre commerce spécialisé","27 AVENUE DE L'URSS 31400 TOULOUSE","Hakim Laalj",physique,"Gérant",1,2000-08-01,
"MOA","MOI SAINT ROME",825262132,"Autre commerce spécialisé","21 RUE SAINT ROME 31000 TOULOUSE","Stephanie Speciale (chiche)",physique,"Gérant",2,2017-02-01,
"MOBILITYURBAN","MOBILITYURBAN",537757320,"Autre commerce spécialisé","308 AVENUE DE MURET 31300 TOULOUSE","Christophe Bayart",physique,"Président du conseil d'administration",2,2011-10-14,
"MOHAMED GUENDOUZ","",383538857,"Autre commerce spécialisé","7 RUE DE LA BOURSE 31000 TOULOUSE","Mohamed Guendouz",physique,"",1,1991-09-20,
"MON BATIMENT","MON BATIMENT",891415275,"Autre commerce spécialisé","56 RUE BENJAMIN BAILLAUD 31500 TOULOUSE","Mohammed Rifi",physique,"Président de SAS",2,2020-11-05,
"MONIQUE BEYROUTH (SOIA)","",437826241,"Autre commerce spécialisé","20 RUE DES CHANGES 31000 TOULOUSE","Monique Beyrouth (soia)",physique,"",1,2001-05-17,
"MONSIEUR MADAME","MONSIEUR MADAME",792236440,"Autre commerce spécialisé","16 RUE PEYRAS 31000 TOULOUSE","Amanda Page",physique,"Gérant",1,2013-05-04,
"MONTBLANC","ETOILE DE TOULOUSE",898364278,"Autre commerce spécialisé","17 RUE D'ALSACE LORRAINE 31000 TOULOUSE","V.M.B.C.",morale,"Président de SAS",1,2021-04-13,842259525
"MORRAY BEAUTY","MORRAY BEAUTY",890482235,"Autre commerce spécialisé","10 RUE PIERRE DE FERMAT 31000 TOULOUSE","Ndeye Thiam",physique,"Président de SAS",1,2020-10-15,
"MOVIEXPRESS","MOVIEXPRESS",490395084,"Autre commerce spécialisé","1 BOULEVARD ARMAND DUPORTAL 31000 TOULOUSE","",,"",1,2006-06-02,
"MPP","FORUM CHASSE PECHE",352140404,"Autre commerce spécialisé","36 IMPASSE DES ETATS UNIS 31200 TOULOUSE","Eric Sadowski (sadowski)",physique,"Gérant",4,1989-10-20,
"MT (MT BOUTIQUE)","MT",812028207,"Autre commerce spécialisé","2 RUE RIVALS 31000 TOULOUSE","Murielle Tisserand",physique,"Président de SAS",1,2015-06-15,
"MURIELLE LEURQUIN","",404308314,"Autre commerce spécialisé","18 RUE DES PUITS CLOS 31000 TOULOUSE","Murielle Leurquin",physique,"",1,1996-04-01,
"MUSTAFA YURT","",991322215,"Autre commerce spécialisé","13 RUE BONNAT 31400 TOULOUSE","Mustafa Yurt",physique,"",1,2025-09-12,
"MY E-CIG","ROMAIN-PIERRE",794384131,"Autre commerce spécialisé","45 RUE DE METZ 31000 TOULOUSE","",,"",1,2013-08-19,
"MY GALLERY","MY GALLERY",928432996,"Autre commerce spécialisé","35 RUE DE LA CONCORDE 31000 TOULOUSE","Alexandra Bono (pierson)",physique,"Président de SAS",1,2024-05-15,
"MY HOME MY DEAR","MHMD",978485787,"Autre commerce spécialisé","CCIAL LES BOUTIQUES SAINT-GEORGES 51 B RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","Charlène Allouche",physique,"Président de SAS",1,2023-08-01,
"NADEGE TIXIER-LAMAISON (GALERIE TRIANGLE)","",750554644,"Autre commerce spécialisé","162 RUE EDMOND ROSTAND 31200 TOULOUSE","Nadege Tixier lamaison (tixier-lamaison)",physique,"",2,2012-04-01,
"NAMASTE BOUTIQUE","NAMASTE BOUTIQUE RANA",841093982,"Autre commerce spécialisé","13 RUE PEYRAS 31000 TOULOUSE","Bikram Rana",physique,"Président de SAS",1,2018-07-15,
"NATHALIE FERNANDO-PERDRIX (DELTATTO)","",391001286,"Autre commerce spécialisé","7 RUE THERON DE MONTAUGE 31200 TOULOUSE","Nathalie Fernando-perdrix (deltatto)",physique,"",2,1993-04-15,
"NATURE ET SANTE","NATURE ET SANTE",903445278,"Autre commerce spécialisé","84 AVENUE JEAN RIEUX 31500 TOULOUSE","Sébastien Brame",physique,"Président de SAS",1,2021-09-03,
"NEW LOC","NEW LOC",450649306,"Autre commerce spécialisé","80 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","Jose Castro",physique,"Gérant",1,2003-11-01,
"NGAWANG NORBU (LA MALLE DU TIBET)","",534488812,"Autre commerce spécialisé","APT 3 13 RUE DE THIONVILLE 31000 TOULOUSE","Ngawang Norbu",physique,"",1,2011-09-11,
"NI VU NI CONNU","NI VU NI CONNU",987479342,"Autre commerce spécialisé","5 RUE NINAU 31000 TOULOUSE","Sabine Gaichies",physique,"Président de SAS",1,2024-04-01,
"NIKITA MOISSEJEV","",991264763,"Autre commerce spécialisé","8 RUE NEUVE 31000 TOULOUSE","Nikita Moissejev",physique,"",1,2025-09-11,
